city,lat,lng,pop
Kaluga,54.52037884,36.27002356,200000
Samsun,41.27999839,36.34366247,200000
Kerch,45.36850852,36.4880981,100000
Tokat,40.30599617,36.56300452,100000
Belgorod,50.62999615,36.5999259,200000
Obninsk,55.08044802,36.62002803,50000
Klin,56.34305829,36.69873124,50000
Berdyansk,46.75682172,36.78683956,75000
Kahramanmaras,37.60998985,36.94502112,200000
Sivas,39.74541506,37.03498979,200000
Aleksin,54.5143327,37.09436601,50000
Kilis,36.7204059,37.11999752,50000
Kimry,56.86912437,37.34437659,50000
Gaziantep,37.07498374,37.38499426,200000
Serpukhov,54.93037966,37.43000443,100000
Shchekino,54.01433738,37.5142887,50000
Podolsk,55.38042971,37.52994665,200000
Kramatorsk,48.71936342,37.53439083,100000
Mariupol,47.09618085,37.55619828,200000
Kupyansk,49.72178286,37.59805619,75000
Livny,52.42479616,37.60436072,50000
Moscow,55.75216412,37.61552283,1036757
Tula,54.19995913,37.62994055,200000
Novorossiysk,44.72996869,37.76993201,200000
Donetsk,48.00000165,37.82998002,200000
Starsy Oskol,51.30042035,37.83995357,200000
Ordu,41.00042889,37.8699259,100000
Cherepovets,59.14043276,37.90997514,200000
Makiyivka,48.02966392,37.97462235,200000
